 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
HCS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-9pm,1215 W. West Covina Pkwy ,STE. 200,CA,West Covina,91790,"626.338.9200 

Intake Department 

866.304.4337",,www.foothillfamily.org,,
DV,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-9pm,1215 W. West Covina Pkwy ,STE. 200,CA,West Covina,91790,"626.338.9200 

Intake Department 

866.304.4337",,www.foothillfamily.org,,
SS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-9pm,1215 W. West Covina Pkwy ,STE. 200,CA,West Covina,91790,"626.338.9200 

Intake Department 

866.304.4337",,www.foothillfamily.org,,
BH,Alysha,McCuistion,Foothill Family Shelter,DV Program Coordinator,Assistance to families with children. Program is geared towards temporary housing up to 120 days.,Per application approval.,Call for next application dates.,1501 W. 9th St,STE. D,CA,Upland,91786,909.920.0453,,www.foothillfamilyshelter.org,confirmed,
SS,Linda,Apodaca,Foothill Transit,Community Outreach & Special Events Coordinator,,,,100 S. Vincent Ave. ,STE. 200,CA,West Covina,91790,626.931.7239,,www.foothilltransit.org,left message 9/27,
FB,Irma,Alcantar Serna,Foothill Unity Center,RN Case Manager,"Food pantry, client services such as case management. Health services with case management.","All homeless, families within service area who meet requirements.","Office Hours Mon-Fri 9-5pm. Distribution Monday 1-3:30pm, Wed & Fri 9-11:30am",415 W. Chestnut Ave.,,CA,Monrovia,91016,626.358.3486,,www.foothillunitycenter.org,confirmed,
CM,Irma,Alcantar Serna,Foothill Unity Center,RN Case Manager,"Food pantry, client services such as case management. Health services with case management.","All homeless, families within service area who meet requirements.","Office Hours Mon-Fri 9-5pm. Distribution Monday 1-3:30pm, Wed & Fri 9-11:30am",415 W. Chestnut Ave.,,CA,Monrovia,91016,626.358.3486,,www.foothillunitycenter.org,confirmed,
HCS,Irma,Alcantar Serna,Foothill Unity Center,RN Case Manager,"Food pantry, client services such as case management. Health services with case management.","All homeless, families within service area who meet requirements.","Office Hours Mon-Fri 9-5pm. Distribution Monday 1-3:30pm, Wed & Fri 9-11:30am",415 W. Chestnut Ave.,,CA,Monrovia,91016,626.358.3486,,www.foothillunitycenter.org,confirmed,
FB,,,Foothill Unity Center,,Food Pantry,low income individuals and families who are struggling to survive.,"Tues & Thurs 9-11:30am, Weds 1-3:30pm",191 N. Oak Ave,,CA,Pasadena,91107,626.584.7420,,,confirmed,
FB,,,For Christ's Sake,,Food Pantry,Homeless,Tuesdays 10am-2pm Bag of Food,727 W. 12th St.,,CA,Pomona,91766,909.622.0094,,,,
FB,,,For Christ's Sake Economic Development,,Food Bank,,Tues 9am-2pm,727 W. 12th St,,CA,Pomona,91766,,,,,
FB,,,Friends Outside in Los Angeles County,,Food Pantry,,Weds 10am-3pm,464 E. Walnut St,,CA,Pasadena,91101,626.795.7607,,www.friendsoutsidela.org,confirmed,
SS,,,Frontline (SGV NAMI),,"Family and Veterans' support group which provides education, resources, and referrals to Los Angeles County military families and veterans.",Veterans and military families,1st and 3rd Tuesday 5:30-7pm,2550 E Foothill Blvd,Rm 135,CA,Pasadena,91107,626.577.6697,,www.namicalifornia.org,,
EES,,,Frontline (SGV NAMI),,"Family and Veterans' support group which provides education, resources, and referrals to Los Angeles County military families and veterans.",Veterans and military families,1st and 3rd Tuesday 5:30-7pm,2550 E Foothill Blvd,Rm 135,CA,Pasadena,91107,626.577.6697,,www.namicalifornia.org,,
MHS,,,Full Service Partnerships (FSP),,Mental Health Services,,,,,CA,Los Angeles,,626.258.1999,,,,
FB,,,Fuller Theological Seminary,,Food Pantry,,Weds 11am-2pm,135 N. Oakland Ave,,CA,Pasadena,91102,626.584.5257,,,confirmed,
FB,,,G.A.P. Good Bank,,Food Pantry,,Th 4pm-6pm Open @3,8768 Helms Ave,STE A,CA,Rancho Cucamonga,,909.945.1020,,,,
ES,,,Gateway House,,Maternity Homes for Single Women or Women with Children,Single Women or Women with Children,,PO Box 303,,CA,Pomona,91769,909.622.9910,,,,
SS,,,Giving Children Hope,,"Provide medical supplies, disaster relief to non-profits, household goods to non-profits, all for a nominal fee. Backpack program for Orange County school district for homeless children.",Non-profit organizations and homeless service providers.,Mon-Fri 8am-5pm,8332 Commonwealth Ave.,,CA,Buena Park,90621,714.523.4454,,www.gchope.org,confirmed,
DV,,,Glendale YWCA,,DV hotline,*Spanish and Armenian Spoken,24hr hotline,,,CA,Glendale,,818.242.1106,,www.glendaleywca.org,,
FB,Allan,Espinoza,"God Provides 
Native American Food Bank",Director/CEO,"Food bank. Drop-off center for drug and alcohol rehabilitation. In alliance with 25 rehabilitation centers, can get clients off the street same-day.",Any homeless family or individual in need. No identification or documentation necessary.,"Food Distribution Mon-Fri 8-4pm, Sat 8-2pm",2453 Troy Ave.,,CA,South El Monte,91733,626.442.4273,,www.godprovidesministry.org,confirmed,
SS,Allan,Espinoza,"God Provides 
Native American Food Bank",Director/CEO,"Food bank. Drop-off center for drug and alcohol rehabilitation. In alliance with 25 rehabilitation centers, can get clients off the street same-day.",Any homeless family or individual in need. No identification or documentation necessary.,"Food Distribution Mon-Fri 8-4pm, Sat 8-2pm",2453 Troy Ave.,,CA,South El Monte,91733,626.442.4273,,www.godprovidesministry.org,confirmed,
ES,,,Good Charities-Good Shepard Center-Languille,,Emergency Shelter,Single women,,267 N. Belmont Ave.,,CA,Los Angeles,90026,213.250.5241,,,,
ES,Ray,Olivas,"Good Shepherd Center 
Employment & Client Services",Program Coordinator,Emergency Shelter,Assist most vulnerable of the homeless population— women and children," Phone:  (213) 235-1460
Fax:  (213) 235-1480
Center Director
Sister Anne Tran  ext. 131    M-F 8:00a.m. to 5:00 p.m.",1671 Beverly Blvd.,,CA,Los Angeles,90026,213.250.5241,,www.gschomeless.org,left message 9/27,
SS,,,Goodwill Southern California Youth Program,,Get a job. Free tutoring and work experience credits.                                                            Eligibility-please call the office for more information.,,M-Th 9:00a.m.-7:00p.m.                      F 9:00a.m.-5:00p.m.,210 E. Foothill Blvd.,,CA,Pomona,,909.593.0711,,www.goodwillsocal.org,automated system- Shakeh can you follow up?,
EES,,,Goodwill Southern California Youth Program,,Get a job. Free tutoring and work experience credits.                                                            Eligibility-please call the office for more information.,,M-Th 9:00a.m.-7:00p.m.                      F 9:00a.m.-5:00p.m.,210 E. Foothill Blvd.,,CA,Pomona,,909.593.0711,,www.goodwillsocal.org,automated system- Shakeh can you follow up?,
BH,,,Gramercy House Group,,"30 bed, 2 year, affordable transitional housing, and social services for single women ages 18-24 with 1 child under 5 years old, 16 single apartments, child care, written referral from case manager, complete background check, income",Single women ages 18-24 with 1 child under 5 years old,,1824 4th Ave.,,CA,Los Angeles,90019,323.737.7352,,www.gramercyhousinggroup.org,,
SS,,,Gramercy House Group,,"30 bed, 2 year, affordable transitional housing, and social services for single women ages 18-24 with 1 child under 5 years old, 16 single apartments, child care, written referral from case manager, complete background check, income",Single women ages 18-24 with 1 child under 5 years old,,1824 4th Ave.,,CA,Los Angeles,90019,323.737.7352,,www.gramercyhousinggroup.org,,
CM,,,Gramercy House Group,,"30 bed, 2 year, affordable transitional housing, and social services for single women ages 18-24 with 1 child under 5 years old, 16 single apartments, child care, written referral from case manager, complete background check, income",Single women ages 18-24 with 1 child under 5 years old,,1824 4th Ave.,,CA,Los Angeles,90019,323.737.7352,,www.gramercyhousinggroup.org,,
SS,,,Grandview Foundation,,"Individual and group counseling, alcohol/drug dependency education, relapse prevention, lectures from renowned practitioners in the field of drug and alcohol abuse, family education and counseling, art and relaxation therapy, 12-step meetings, full re-entry program.","Residential recovery services to men, outpatient services to men and women 18 and over and their families who suffer from the effects of alcohol and drug addiction.",,P.O. Box 40375,,CA,Pasadena,91114,626.398.9674,,www.grandviewfoundation.com,,
MHS,,,Grandview Foundation,,"Individual and group counseling, alcohol/drug dependency education, relapse prevention, lectures from renowned practitioners in the field of drug and alcohol abuse, family education and counseling, art and relaxation therapy, 12-step meetings, full re-entry program.","Residential recovery services to men, outpatient services to men and women 18 and over and their families who suffer from the effects of alcohol and drug addiction.",,P.O. Box 40375,,CA,Pasadena,91114,626.398.9674,,www.grandviewfoundation.com,,
MHS,,,H.O.P.E.,,"Pasadena Police and Los Angeles County Department of Mental Health's Homeless Outreach-Psychiatric Evaluation provides effective, collaborative and compassionate mental health and law enforcement emergency response to those in need of mental health, housing and related social services.",Those in need of mental health services.,,207 N. Garfield Ave.,,CA,Pasadena,91107,626.744.7054,,,,
